case,abc,ric3_baseline,ric3_dynamic,ric3_adaptive,ric3_reverse_topo,ric3_reverse_topo_inn,ric3_flip_high,ric3_dynamic_reverse_topo,ric3_multi_mic,ric3_mab,baseline_speedup,dynamic_speedup,dynamic_vs_baseline_ratio,adaptive_vs_baseline_ratio,adaptive_vs_dynamic_ratio,reverse_vs_baseline_ratio,reverse_topo_inn_vs_baseline_ratio,reverse_vs_dynamic_ratio,reverse_topo_inn_vs_dynamic_ratio,flip_vs_baseline_ratio,dynamic_reverse_topo_vs_baseline_ratio,dynamic_reverse_topo_vs_dynamic_ratio,mab_vs_dynamic_ratio
pdtvsar8multip11,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,0.19999999999999998,0.19999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Problem07_label01,2.27,14.14,13.79,26.3,6.93,0.99,9.55,6.82,37.91,10.64,6.229074889867841,6.074889867841409,1.0253807106598987,0.5376425855513308,0.5243346007604562,2.0404040404040407,14.282828282828284,1.9898989898989898,13.929292929292929,1.4806282722513089,2.0733137829912023,2.0219941348973607,1.2960526315789471
vis_arrays_two_p2,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,inf,inf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
yosyshq_appnote_123_cv32e40x-p475,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
yosyshq_appnote_123_cv32e40x-p056,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,2.02,3600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Problem13_label23,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
nusmvtcastp3,0.01,10.49,11.48,12.79,14.14,8.99,11.81,14.89,53.81,13.41,1049.0,1148.0,0.9137630662020906,0.82017200938233,0.8975762314308054,0.7418670438472419,1.1668520578420467,0.8118811881188118,1.2769744160177976,0.8882303132938187,0.7044996642041639,0.770987239758227,0.8560775540641312
6s289rb00529,0.11,0.0,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,,0.0,0.0,,,,,,,,0.0
cal54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
pdtswvqis8x8p1,0.01,1.14,1.14,0.62,0.42,5.25,1.52,0.43,0.02,0.57,113.99999999999999,113.99999999999999,1.0,1.8387096774193548,1.8387096774193548,2.714285714285714,0.21714285714285714,2.714285714285714,0.21714285714285714,0.7499999999999999,2.6511627906976742,2.6511627906976742,2.0
qspiflash_dualflexpress_divthree-p078,0.0,0.03,0.03,0.08,0.05,0.04,0.05,0.05,0.05,0.14,inf,inf,1.0,0.375,0.375,0.6,0.75,0.6,0.75,0.6,0.6,0.6,0.21428571428571425
